true,GoEmotions,TF-IDF,Semantic
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Normal,Anxiety,Anxiety
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Normal,Anxiety,Anxiety
Anxiety,Normal,Depression,Normal
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Normal,Anxiety,Depression
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Normal,Anxiety,Anxiety
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Depression,Anxiety,Anxiety
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Depression,Anxiety,Depression
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Normal,Anxiety,Anxiety
Anxiety,Normal,Anxiety,Anxiety
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Anxiety,Anxiety,Suicidal
Anxiety,Normal,Anxiety,Anxiety
Anxiety,Normal,Normal,Depression
Anxiety,Normal,Anxiety,Anxiety
Anxiety,Normal,Suicidal,Normal
Anxiety,Normal,Anxiety,Suicidal
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Normal,Anxiety,Anxiety
Anxiety,Normal,Anxiety,Suicidal
Anxiety,Normal,Anxiety,Anxiety
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Normal,Anxiety,Depression
Anxiety,Depression,Anxiety,Depression
Anxiety,Depression,Anxiety,Suicidal
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Normal,Anxiety,Normal
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Anxiety,Anxiety,Anxiety
Anxiety,Normal,Anxiety,Suicidal
Anxiety,Depression,Anxiety,Suicidal
Anxiety,Normal,Anxiety,Normal
Anxiety,Normal,Anxiety,Anxiety
Anxiety,Anxiety,Anxiety,Anxiety
Depression,Anxiety,Depression,Suicidal
Depression,Normal,Depression,Normal
Depression,Anxiety,Depression,Depression
Depression,Normal,Depression,Depression
Depression,Normal,Depression,Depression
Depression,Depression,Depression,Depression
Depression,Depression,Depression,Depression
Depression,Depression,Depression,Depression
Depression,Normal,Depression,Anxiety
Depression,Depression,Depression,Depression
Depression,Anxiety,Depression,Depression
Depression,Anxiety,Depression,Anxiety
Depression,Normal,Depression,Normal
Depression,Depression,Depression,Suicidal
Depression,Depression,Depression,Depression
Depression,Normal,Depression,Suicidal
Depression,Anxiety,Depression,Depression
Depression,Anxiety,Depression,Depression
Depression,Depression,Depression,Depression
Depression,Normal,Depression,Suicidal
Depression,Anxiety,Depression,Depression
Depression,Depression,Anxiety,Depression
Depression,Anxiety,Depression,Depression
Depression,Depression,Depression,Depression
Depression,Normal,Depression,Suicidal
Depression,Normal,Normal,Depression
Depression,Normal,Depression,Normal
Depression,Normal,Depression,Depression
Depression,Normal,Depression,Normal
Depression,Depression,Depression,Depression
Depression,Anxiety,Depression,Anxiety
Depression,Normal,Depression,Depression
Depression,Anxiety,Depression,Suicidal
Depression,Normal,Normal,Depression
Depression,Depression,Depression,Depression
Depression,Normal,Depression,Suicidal
Depression,Anxiety,Depression,Suicidal
Depression,Depression,Depression,Anxiety
Depression,Depression,Depression,Depression
Depression,Normal,Depression,Depression
Depression,Depression,Depression,Depression
Depression,Depression,Depression,Suicidal
Depression,Anxiety,Depression,Depression
Depression,Depression,Depression,Depression
Depression,Normal,Depression,Normal
Depression,Anxiety,Depression,Depression
Depression,Depression,Depression,Suicidal
Depression,Normal,Depression,Normal
Depression,Normal,Depression,Normal
Depression,Normal,Anxiety,Anxiety
Suicidal,Normal,Suicidal,Anxiety
Suicidal,Normal,Suicidal,Suicidal
Suicidal,Depression,Suicidal,Depression
Suicidal,Normal,Suicidal,Depression
Suicidal,Normal,Suicidal,Suicidal
Suicidal,Normal,Suicidal,Normal
Suicidal,Depression,Suicidal,Suicidal
Suicidal,Normal,Normal,Suicidal
Suicidal,Anxiety,Suicidal,Suicidal
Suicidal,Depression,Suicidal,Suicidal
Suicidal,Normal,Suicidal,Suicidal
Suicidal,Depression,Suicidal,Suicidal
Suicidal,Anxiety,Suicidal,Suicidal
Suicidal,Anxiety,Suicidal,Anxiety
Suicidal,Normal,Suicidal,Suicidal
Suicidal,Normal,Suicidal,Suicidal
Suicidal,Anxiety,Suicidal,Suicidal
Suicidal,Normal,Suicidal,Suicidal
Suicidal,Anxiety,Suicidal,Depression
Suicidal,Depression,Suicidal,Anxiety
Suicidal,Depression,Suicidal,Suicidal
Suicidal,Normal,Suicidal,Suicidal
Suicidal,Depression,Suicidal,Suicidal
Suicidal,Depression,Suicidal,Depression
Suicidal,Depression,Suicidal,Suicidal
Suicidal,Anxiety,Suicidal,Suicidal
